Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.07,0.06,0.06,0.05
Albania,ALB,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,20,18,16,..
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,9,..
Algeria,DZA,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11560,11620,11700,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.499,76.693,76.88,..
Algeria,DZA,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,91,91,91,..
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,80,80,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.50574766242013,3.59165741835207,..,..
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,110.7672465,111.6647921,105.510594,103.8873168
Algeria,DZA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,970.26824951,962.71936035,..,..
Algeria,DZA,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Algeria,DZA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,74.57496533,73.87983297,73.13974587,72.3814561
Algeria,DZA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,18.29457734,18.06639486,17.8390633,17.6125897
Algeria,DZA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,18.8,..,..
Algeria,DZA,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.07,0.07,0.06,0.06
Algeria,DZA,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,70,69,61,..
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,6.7,..
American Samoa,ASM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..
American Samoa,ASM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..,..,..,..
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,..,..,..,..
American Samoa,ASM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..
American Samoa,ASM,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
American Samoa,ASM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.36197279,98.36197279,98.36197279,98.36197279
American Samoa,ASM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
American Samoa,ASM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..
American Samoa,ASM,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
American Samoa,ASM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,10,0,2.1,..
American Samoa,ASM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..
Andorra,AND,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..
Andorra,AND,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,99,99,99,..
Andorra,AND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.10413392729587,5.97340536048203,..,..
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,104.3324113,107.2825494,113.9573773,..
Andorra,AND,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,3319.4050293,3607.00097656,..,..
Andorra,AND,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Andorra,AND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,90.63999888,90.64000112,90.64000336,90.64000336
Andorra,AND,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.99999876,100.0000012,100.0000037,100.0000037
Andorra,AND,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,33.8,..,..
Andorra,AND,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
Andorra,AND,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,1.5,3,7.5,..
Andorra,AND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,7.7,..
Angola,AGO,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,49.9,..,..
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6860,6550,6320,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.379,60.782,61.147,..
Angola,AGO,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,56,63,57,..
Angola,AGO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,42,50,51,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.03431729977182,0.88738036390839,..,..
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,44.68610714,43.13051888,46.59863797,44.55951073
Angola,AGO,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,185.65101624,164.70602417,..,..
Angola,AGO,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Angola,AGO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..
Angola,AGO,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
Angola,AGO,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..
Angola,AGO,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,1.33,1.25,1.17,1.1
Angola,AGO,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,359,355,351,..
Angola,AGO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,4.5,..
Antigua and Barbuda,ATG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18780,20490,21380,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.752,76.885,77.016,..
Antigua and Barbuda,ATG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,95,95,95,..
Antigua and Barbuda,ATG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,96,93,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.23971705527901,5.50466338464095,..,..
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,192.819567,..,..,..
Antigua and Barbuda,ATG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,1274.50341797,1405.76794434,..,..
Antigua and Barbuda,ATG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Antigua and Barbuda,ATG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..
Antigua and Barbuda,ATG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
Antigua and Barbuda,ATG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..
Antigua and Barbuda,ATG,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
Antigua and Barbuda,ATG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,1.2,6,0,..
Antigua and Barbuda,ATG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,13.1,..
Argentina,ARG,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.9,1.4,1.5,..
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,23000,22470,22080,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.372,76.52,76.667,..
Argentina,ARG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,86,86,86,..
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,89,94,94,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.0894715157252,3.9872341980589,..,..
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,140.8771235,132.0931513,125.842106,121.1703997
Argentina,ARG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2184.91918945,1989.63562012,..,..
Argentina,ARG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Argentina,ARG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..
Argentina,ARG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
Argentina,ARG,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,21.8,..,..
Argentina,ARG,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.24,0.24,0.23,0.22
Argentina,ARG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,27,27,29,..
Argentina,ARG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,5.9,..
Armenia,ARM,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.9,1.4,1.1,..
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,12540,13250,14470,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.797,74.945,75.087,..
Armenia,ARM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,94,92,92,..
Armenia,ARM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,95,95,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.80658104876105,1.88024626821933,..,..
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,118.4642306,121.259018,122.3487531,117.7357712
Armenia,ARM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,996.98303223,1036.95446777,..,..
Armenia,ARM,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Armenia,ARM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,85.42311993,85.92295741,86.42296899,86.91066001
Armenia,ARM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,64.61479069,66.1091264,67.76279579,69.32908129
Armenia,ARM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,26.7,..,..
Armenia,ARM,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.16,0.17,0.18,0.19
Armenia,ARM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,36,31,26,..
Armenia,ARM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,6.1,..
Aruba,ABW,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,36300,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.01,76.152,76.293,..
Aruba,ABW,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,..,..,..,..
Aruba,ABW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,..,..,..,..
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,..,..,..,..
Aruba,ABW,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Aruba,ABW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..
Aruba,ABW,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
Aruba,ABW,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,..,..,..
Aruba,ABW,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
Aruba,ABW,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,8.7,5.4,2.2,..
Aruba,ABW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,11.6,..
Australia,AUS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,47160,48660,50540,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.5,82.7487804878049,82.9,..
Australia,AUS,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,95,95,95,..
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,95,95,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.7386474030825,15.475516485656,..,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,108.4417819,111.012255,109.2520084,107.6632349
Australia,AUS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,4725.44970703,5004.86669922,..,..
Australia,AUS,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Australia,AUS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..
Australia,AUS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,71.35875683,72.32566936,73.29258189,74.25949441
Australia,AUS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,16.2,..,..
Australia,AUS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.07,0.07,0.06,0.06
Australia,AUS,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,6.7,6.6,6.9,..
Australia,AUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,5.6,..
Austria,AUT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,0.3,0.6,..,..
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,53660,56530,58940,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6439024390244,81.6926829268293,81.7926829268293,..
Austria,AUT,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,90,85,85,..
Austria,AUT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,94,94,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.48275147921596,7.14663762463773,..,..
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,123.1192958,123.5352681,119.7752968,118.6078386
Austria,AUT,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,5674.06201172,5879.10302734,..,..
Austria,AUT,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Austria,AUT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.90619826,98.90447548,98.9026198,98.900642
Austria,AUT,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,99.63759412,99.63912654,99.64076649,99.64252491
Austria,AUT,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,29.1,..,..
Austria,AUT,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
Austria,AUT,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,7.3,6.1,6.2,..
Austria,AUT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,6.6,..
Azerbaijan,AZE,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,13510,13790,14370,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.693,72.864,73.005,..
Azerbaijan,AZE,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,95,95,94,..
Azerbaijan,AZE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,96,98,..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.24435690442685,3.22140218320925,..,..
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,102.8610548,103.9214187,106.9924534,102.0230735
Azerbaijan,AZE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,655.41607666,633.56213379,..,..
Azerbaijan,AZE,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Azerbaijan,AZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,86.38904431,87.08107236,87.74410931,88.32276401
Azerbaijan,AZE,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,22.78796404,21.9151199,21.03918997,..
Azerbaijan,AZE,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,19.6,..,..
Azerbaijan,AZE,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.08,0.08,0.07,0.07
Azerbaijan,AZE,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,66,63,60,..
Azerbaijan,AZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,6.1,..
"Bahamas, The",BHS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,35250,35920,37350,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.554,73.752,73.918,..
"Bahamas, The",BHS,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,94,90,86,..
"Bahamas, The",BHS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,89,85,..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.6319728407933,5.86046391017413,..,..
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,92.60913413,100.7960854,109.2494647,..
"Bahamas, The",BHS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2128.2644043,2005.24621582,..,..
"Bahamas, The",BHS,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
"Bahamas, The",BHS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..
"Bahamas, The",BHS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..
"Bahamas, The",BHS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,10.9,..,..
"Bahamas, The",BHS,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,0.54,0.44,0.4,0.39
"Bahamas, The",BHS,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,15,14,15,..
"Bahamas, The",BHS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,8.8,..
Bahrain,BHR,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,45030,44700,44330,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.032,77.163,77.292,..
Bahrain,BHR,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,97,99,99,..
Bahrain,BHR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,..
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,20.3336240367799,19.5929758385156,..,..
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,158.2568089,133.3409369,115.7929212,102.7678474
Bahrain,BHR,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,2263.04296875,1955.35192871,..,..
Bahrain,BHR,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Bahrain,BHR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.98326213,98.98326213,98.98326213,98.98326213
Bahrain,BHR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,88.80685521,90.020356,91.23381816,91.23381816
Bahrain,BHR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,25.1,..,..
Bahrain,BHR,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
Bahrain,BHR,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,12,11,12,..
Bahrain,BHR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,15.6,..
Bangladesh,BGD,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4340,4750,5190,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.052,72.32,72.591,..
Bangladesh,BGD,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,98,98,98,..
Bangladesh,BGD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,97,97,..
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.492906612933688,0.512837313770296,..,..
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,94.5264735,100.2447125,101.5491558,103.3076686
Bangladesh,BGD,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,97.28712463,109.6439209,..,..
Bangladesh,BGD,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..
Bangladesh,BGD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,57.15407412,57.59065733,58.04326337,58.51187913
Bangladesh,BGD,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,35.68556584,36.69010606,37.68488358,38.66941874
Bangladesh,BGD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,39.1,..,..
Bangladesh,BGD,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,..,..,..,..
Bangladesh,BGD,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,221,221,221,..
Bangladesh,BGD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,9.2,..
Barbados,BRB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..
